Hospital_Name,City,Bed_Count
Unity Hospital,Sheffield,455
City General,London,521
Harbor View Clinic,Glasgow,349
St. Jude Medical,Birmingham,419
St. Jude Medical,Birmingham,361
Memorial Hospital,Leeds,424
City General,London,558
Unity Hospital,Sheffield,136
Green Valley Center,Liverpool,268
Memorial Hospital,Leeds,570
Northwest Health,Manchester,555
Memorial Hospital,Leeds,131
Bridgeport Medical,Newcastle,288
City General,London,145
St. Jude Medical,Birmingham,590
City General,London,557
Riverside Clinic,Bristol,100
Northwest Health,Manchester,436
St. Jude Medical,Birmingham,406
Mercy Health,Edinburgh,443
Mercy Health,Edinburgh,153
Bridgeport Medical,Newcastle,144
City General,London,114
Mercy Health,Edinburgh,142
Harbor View Clinic,Glasgow,542
Unity Hospital,Sheffield,532
Mercy Health,Edinburgh,84
Riverside Clinic,Bristol,552
Harbor View Clinic,Glasgow,348
Bridgeport Medical,Newcastle,497
Riverside Clinic,Bristol,121
Riverside Clinic,Bristol,556
Unity Hospital,Sheffield,412
Bridgeport Medical,Newcastle,178
Mercy Health,Edinburgh,112
Memorial Hospital,Leeds,151
Mercy Health,Edinburgh,212
Unity Hospital,Sheffield,569
Riverside Clinic,Bristol,140
St. Jude Medical,Birmingham,196
Memorial Hospital,Leeds,480
Unity Hospital,Sheffield,325
Memorial Hospital,Leeds,333
Green Valley Center,Liverpool,458
Unity Hospital,Sheffield,433
Mercy Health,Edinburgh,206
Green Valley Center,Liverpool,540
Memorial Hospital,Leeds,194
Unity Hospital,Sheffield,571
Unity Hospital,Sheffield,217
Riverside Clinic,Bristol,341
City General,London,579
Harbor View Clinic,Glasgow,339
Bridgeport Medical,Newcastle,425
Riverside Clinic,Bristol,340
City General,London,217
Riverside Clinic,Bristol,158
St. Jude Medical,Birmingham,523
Mercy Health,Edinburgh,547
Unity Hospital,Sheffield,536
Memorial Hospital,Leeds,468
Harbor View Clinic,Glasgow,203
Harbor View Clinic,Glasgow,572
Harbor View Clinic,Glasgow,385
Mercy Health,Edinburgh,384
Northwest Health,Manchester,593
Northwest Health,Manchester,474
Green Valley Center,Liverpool,340
Unity Hospital,Sheffield,150
Harbor View Clinic,Glasgow,340
St. Jude Medical,Birmingham,83
Bridgeport Medical,Newcastle,590
Memorial Hospital,Leeds,186
Green Valley Center,Liverpool,148
Bridgeport Medical,Newcastle,222
Unity Hospital,Sheffield,220
Memorial Hospital,Leeds,150
Unity Hospital,Sheffield,336
City General,London,353
Northwest Health,Manchester,520
Green Valley Center,Liverpool,295
Harbor View Clinic,Glasgow,146
Riverside Clinic,Bristol,460
Harbor View Clinic,Glasgow,278
City General,London,302
Northwest Health,Manchester,460
Unity Hospital,Sheffield,450
Northwest Health,Manchester,93
Unity Hospital,Sheffield,279
Memorial Hospital,Leeds,143
Memorial Hospital,Leeds,580
City General,London,417
St. Jude Medical,Birmingham,469
St. Jude Medical,Birmingham,340
Unity Hospital,Sheffield,246
Harbor View Clinic,Glasgow,318
Memorial Hospital,Leeds,371
City General,London,208
Riverside Clinic,Bristol,340
Northwest Health,Manchester,194
